Source,Target,Weight,Type
ABronte_Agnes,ABronte_Tenant,60,undirected
ABronte_Agnes,Austen_Emma,3,undirected
ABronte_Agnes,Austen_Pride,1,undirected
ABronte_Agnes,Austen_Sense,4,undirected
ABronte_Agnes,CBronte_Jane,18,undirected
ABronte_Agnes,CBronte_Professor,1,undirected
ABronte_Agnes,CBronte_Villette,5,undirected
ABronte_Agnes,EBronte_Wuthering,3,undirected
ABronte_Agnes,Eliot_Middlemarch,2,undirected
ABronte_Agnes,Eliot_Mill,1,undirected
ABronte_Agnes,Richardson_Pamela,7,undirected
ABronte_Tenant,ABronte_Agnes,60,undirected
ABronte_Tenant,Austen_Pride,2,undirected
ABronte_Tenant,Austen_Sense,2,undirected
ABronte_Tenant,CBronte_Jane,13,undirected
ABronte_Tenant,EBronte_Wuthering,33,undirected
ABronte_Tenant,Richardson_Clarissa,9,undirected
ABronte_Tenant,Richardson_Pamela,20,undirected
Austen_Emma,ABronte_Agnes,3,undirected
Austen_Emma,Austen_Pride,50,undirected
Austen_Emma,Austen_Sense,40,undirected
Austen_Emma,Eliot_Middlemarch,5,undirected
Austen_Emma,Trollope_Barchester,2,undirected
Austen_Pride,ABronte_Agnes,1,undirected
Austen_Pride,ABronte_Tenant,2,undirected
Austen_Pride,Austen_Emma,50,undirected
Austen_Pride,Austen_Sense,60,undirected
Austen_Pride,Fielding_Tom,7,undirected
Austen_Pride,Richardson_Clarissa,3,undirected
Austen_Pride,Trollope_Barchester,7,undirected
Austen_Sense,ABronte_Agnes,4,undirected
Austen_Sense,ABronte_Tenant,2,undirected
Austen_Sense,Austen_Emma,40,undirected
Austen_Sense,Austen_Pride,60,undirected
Austen_Sense,Fielding_Tom,4,undirected
Austen_Sense,Trollope_Barchester,3,undirected
CBronte_Jane,ABronte_Agnes,18,undirected
CBronte_Jane,ABronte_Tenant,13,undirected
CBronte_Jane,CBronte_Professor,44,undirected
CBronte_Jane,CBronte_Villette,50,undirected
CBronte_Jane,Dickens_Bleak,1,undirected
CBronte_Jane,EBronte_Wuthering,40,undirected
CBronte_Professor,ABronte_Agnes,1,undirected
CBronte_Professor,CBronte_Jane,44,undirected
CBronte_Professor,CBronte_Villette,56,undirected
CBronte_Professor,Dickens_David,5,undirected
CBronte_Professor,EBronte_Wuthering,12,undirected
CBronte_Professor,Sterne_Sentimental,12,undirected
CBronte_Professor,Sterne_Tristram,2,undirected
CBronte_Professor,Thackeray_Barry,1,undirected
CBronte_Villette,ABronte_Agnes,5,undirected
CBronte_Villette,CBronte_Jane,50,undirected
CBronte_Villette,CBronte_Professor,56,undirected
CBronte_Villette,Dickens_David,6,undirected
CBronte_Villette,EBronte_Wuthering,5,undirected
CBronte_Villette,Sterne_Sentimental,1,undirected
Dickens_Bleak,CBronte_Jane,1,undirected
Dickens_Bleak,Dickens_David,58,undirected
Dickens_Bleak,Dickens_Hard,52,undirected
Dickens_Bleak,Eliot_Mill,5,undirected
Dickens_Bleak,Sterne_Sentimental,7,undirected
Dickens_Bleak,Sterne_Tristram,6,undirected
Dickens_Bleak,Thackeray_Barry,2,undirected
Dickens_Bleak,Thackeray_Pendennis,13,undirected
Dickens_Bleak,Thackeray_Vanity,6,undirected
Dickens_David,CBronte_Professor,5,undirected
Dickens_David,CBronte_Villette,6,undirected
Dickens_David,Dickens_Bleak,58,undirected
Dickens_David,Dickens_Hard,40,undirected
Dickens_David,EBronte_Wuthering,6,undirected
Dickens_David,Eliot_Adam,8,undirected
Dickens_David,Eliot_Mill,18,undirected
Dickens_David,Sterne_Sentimental,5,undirected
Dickens_David,Thackeray_Vanity,3,undirected
Dickens_Hard,Dickens_Bleak,52,undirected
Dickens_Hard,Dickens_David,40,undirected
Dickens_Hard,Eliot_Adam,2,undirected
Dickens_Hard,Eliot_Middlemarch,1,undirected
Dickens_Hard,Eliot_Mill,12,undirected
EBronte_Wuthering,ABronte_Agnes,3,undirected
EBronte_Wuthering,ABronte_Tenant,33,undirected
EBronte_Wuthering,CBronte_Jane,40,undirected
EBronte_Wuthering,CBronte_Professor,12,undirected
EBronte_Wuthering,CBronte_Villette,5,undirected
EBronte_Wuthering,Dickens_David,6,undirected
Eliot_Adam,Dickens_David,8,undirected
Eliot_Adam,Dickens_Hard,2,undirected
Eliot_Adam,Eliot_Middlemarch,36,undirected
Eliot_Adam,Eliot_Mill,60,undirected
Eliot_Middlemarch,ABronte_Agnes,2,undirected
Eliot_Middlemarch,Austen_Emma,5,undirected
Eliot_Middlemarch,Dickens_Hard,1,undirected
Eliot_Middlemarch,Eliot_Adam,36,undirected
Eliot_Middlemarch,Eliot_Mill,50,undirected
Eliot_Middlemarch,Fielding_Joseph,3,undirected
Eliot_Middlemarch,Fielding_Tom,2,undirected
Eliot_Middlemarch,Thackeray_Pendennis,1,undirected
Eliot_Middlemarch,Trollope_Barchester,23,undirected
Eliot_Middlemarch,Trollope_Phineas,10,undirected
Eliot_Middlemarch,Trollope_Prime,10,undirected
Eliot_Mill,ABronte_Agnes,1,undirected
Eliot_Mill,Dickens_Bleak,5,undirected
Eliot_Mill,Dickens_David,18,undirected
Eliot_Mill,Dickens_Hard,12,undirected
Eliot_Mill,Eliot_Adam,60,undirected
Eliot_Mill,Eliot_Middlemarch,50,undirected
Eliot_Mill,Fielding_Joseph,1,undirected
Eliot_Mill,Thackeray_Vanity,1,undirected
Fielding_Joseph,Eliot_Middlemarch,3,undirected
Fielding_Joseph,Eliot_Mill,1,undirected
Fielding_Joseph,Fielding_Tom,60,undirected
Fielding_Joseph,Richardson_Clarissa,3,undirected
Fielding_Joseph,Sterne_Tristram,13,undirected
Fielding_Joseph,Thackeray_Barry,25,undirected
Fielding_Joseph,Trollope_Barchester,8,undirected
Fielding_Tom,Austen_Pride,7,undirected
Fielding_Tom,Austen_Sense,4,undirected
Fielding_Tom,Eliot_Middlemarch,2,undirected
Fielding_Tom,Fielding_Joseph,60,undirected
Fielding_Tom,Richardson_Clarissa,24,undirected
Fielding_Tom,Richardson_Pamela,3,undirected
Fielding_Tom,Trollope_Barchester,9,undirected
Richardson_Clarissa,ABronte_Tenant,9,undirected
Richardson_Clarissa,Austen_Pride,3,undirected
Richardson_Clarissa,Fielding_Joseph,3,undirected
Richardson_Clarissa,Fielding_Tom,24,undirected
Richardson_Clarissa,Richardson_Pamela,60,undirected
Richardson_Pamela,ABronte_Agnes,7,undirected
Richardson_Pamela,ABronte_Tenant,20,undirected
Richardson_Pamela,Fielding_Tom,3,undirected
Richardson_Pamela,Richardson_Clarissa,60,undirected
Sterne_Sentimental,CBronte_Professor,12,undirected
Sterne_Sentimental,CBronte_Villette,1,undirected
Sterne_Sentimental,Dickens_Bleak,7,undirected
Sterne_Sentimental,Dickens_David,5,undirected
Sterne_Sentimental,Sterne_Tristram,60,undirected
Sterne_Sentimental,Thackeray_Barry,5,undirected
Sterne_Tristram,CBronte_Professor,2,undirected
Sterne_Tristram,Dickens_Bleak,6,undirected
Sterne_Tristram,Fielding_Joseph,13,undirected
Sterne_Tristram,Sterne_Sentimental,60,undirected
Sterne_Tristram,Thackeray_Barry,9,undirected
Thackeray_Barry,CBronte_Professor,1,undirected
Thackeray_Barry,Dickens_Bleak,2,undirected
Thackeray_Barry,Fielding_Joseph,25,undirected
Thackeray_Barry,Sterne_Sentimental,5,undirected
Thackeray_Barry,Sterne_Tristram,9,undirected
Thackeray_Barry,Thackeray_Pendennis,42,undirected
Thackeray_Barry,Thackeray_Vanity,48,undirected
Thackeray_Pendennis,Dickens_Bleak,13,undirected
Thackeray_Pendennis,Eliot_Middlemarch,1,undirected
Thackeray_Pendennis,Thackeray_Barry,42,undirected
Thackeray_Pendennis,Thackeray_Vanity,60,undirected
Thackeray_Vanity,Dickens_Bleak,6,undirected
Thackeray_Vanity,Dickens_David,3,undirected
Thackeray_Vanity,Eliot_Mill,1,undirected
Thackeray_Vanity,Thackeray_Barry,48,undirected
Thackeray_Vanity,Thackeray_Pendennis,60,undirected
Trollope_Barchester,Austen_Emma,2,undirected
Trollope_Barchester,Austen_Pride,7,undirected
Trollope_Barchester,Austen_Sense,3,undirected
Trollope_Barchester,Eliot_Middlemarch,23,undirected
Trollope_Barchester,Fielding_Joseph,8,undirected
Trollope_Barchester,Fielding_Tom,9,undirected
Trollope_Barchester,Trollope_Phineas,50,undirected
Trollope_Barchester,Trollope_Prime,40,undirected
Trollope_Phineas,Eliot_Middlemarch,10,undirected
Trollope_Phineas,Trollope_Barchester,50,undirected
Trollope_Phineas,Trollope_Prime,60,undirected
Trollope_Prime,Eliot_Middlemarch,10,undirected
Trollope_Prime,Trollope_Barchester,40,undirected
Trollope_Prime,Trollope_Phineas,60,undirected
