ID;OWNER_AGE;OWNER_SEX;NEIGHBORHOOD;BREED;BIRTHYEAR;SEX;COLOR
126;61-70;m;9;Welsh Terrier;2011;w;schwarz/braun
171;61-70;m;3;Berner Sennenhund;2009;m;tricolor
574;61-70;w;2;Mischling gross;2013;w;schwarz
695;41-50;m;6;Labrador Retriever;2012;w;braun
893;61-70;w;7;Mittelschnauzer;2010;w;schwarz
1177;51-60;m;10;Shih Tzu;2011;m;schwarz/weiss
4004;61-70;w;3;Dackel;2010;m;braun
4050;41-50;w;11;Bichon frisé;2012;m;weiss
4054;51-60;w;11;Lagotto Romagnolo;2016;w;weiss/beige
4155;61-70;w;9;Zwergdackel;2002;m;schwarz/grau
4206;71-80;w;8;Havaneser;2016;w;hellbraun/weiss
4215;41-50;w;8;Bergamasker;2004;w;schwarz
4215;41-50;w;8;Border Collie;2001;m;schwarz
4239;61-70;w;10;Pinscher;2013;w;braun/schwarz
4261;71-80;w;7;Labrador Retriever;2012;w;beige
4281;61-70;w;9;Chihuahua;2014;w;schwarz/weiss/braun
4281;61-70;w;9;Chihuahua;2011;w;hellbraun
4726;51-60;m;5;Golden Retriever;2013;w;creme
4726;51-60;m;5;Mischling klein;2007;m;schwarz
4786;41-50;m;3;Weimaraner;2013;w;silber
4801;51-60;m;4;Tibetan Spaniel;2013;w;schwarz/braun
4850;51-60;m;4;Chihuahua;2013;w;beige
4880;51-60;m;5;Leonberger;2011;m;goldbraun
4889;51-60;m;8;Shiba Inu;2003;w;rotbraun
5040;61-70;m;10;Labrador Retriever;2016;w;gelb
5088;51-60;m;7;Labrador Retriever;2014;w;schwarz
5113;61-70;m;11;Beagle;2010;w;tricolor
5225;61-70;m;3;Lagotto Romagnolo;2007;m;braun
5227;71-80;m;10;Border Terrier;2011;w;tricolor
5348;61-70;m;7;Magyar Viszla;2005;w;gelb
5406;51-60;m;6;Französische Bulldogge;2013;m;weiss/schwarz
5740;51-60;m;9;Jack Russel Terrier;2015;w;weiss/braun
6071;61-70;m;3;Cocker Spaniel;2014;m;schwarz
6071;61-70;m;3;Pointer;2016;m;schwarz
6071;61-70;m;3;Pointer;2012;w;schwarz/braun
6314;61-70;m;10;Jack Russel Terrier;2005;w;tricolor
6321;51-60;w;8;Mops;2011;m;beige
6469;41-50;m;11;Mops;2011;m;beige
6594;51-60;m;7;Staffordshire Bull Terrier;2005;w;mahagoni/weiss
6600;51-60;m;6;Mischling klein;2004;m;braun
6617;61-70;w;12;Grosspudel;2012;w;weiss
6619;41-50;w;11;Lhasa Apso;2015;w;golden
6629;51-60;w;4;Chihuahua;2010;w;beige
6629;51-60;w;4;Chihuahua;2010;m;black/tan
6640;51-60;m;8;Englische Bulldogge;2011;m;braun/weiss
12349;61-70;m;4;English Springer Spaniel;2005;m;braun/weiss
12409;61-70;m;9;Mischling klein;2008;w;weiss/schwarz/braun
13193;51-60;m;11;Langhaardackel;2005;w;hellbraun
14362;61-70;m;7;Zwergdachshund;2004;w;saufarben
14387;61-70;m;5;Zwergpinscher;2015;m;schwarz/braun
14550;81-90;m;12;Biewer Yorkshire Terrier;2015;w;tricolor
14693;41-50;m;11;Chihuahua;2007;w;weiss/grau
15456;41-50;m;2;Chihuahua;2015;w;schwarz/weiss
15456;41-50;m;2;Chihuahua;2010;m;schwarz
15490;61-70;m;9;Parson Jack Russell Terrier;2015;m;weiss/blau
15639;51-60;m;11;Malteser;2013;w;weiss
18020;51-60;m;5;Labrador Retriever;2011;w;schwarz
18360;41-50;w;3;Husky;2010;w;weiss
18416;61-70;m;7;Zwergspitz;2016;m;weiss
18462;51-60;m;6;Border Collie;2015;m;tricolor
18805;41-50;w;6;Jack Russel Terrier;2008;m;tricolor
19004;51-60;m;5;Malteser;2014;m;weiss
19141;61-70;m;4;Bolonka Zwetna;2012;m;schwarz
19225;61-70;w;12;Neufundländer;2016;m;braun/weiss
19652;51-60;w;2;Mischling klein;2007;w;braun
