"ABronte_Agnes" "ABronte_Tenant" "Austen_Emma" "Austen_Pride" "Austen_Sense" "CBronte_Jane" "CBronte_Professor" "CBronte_Villette" "Dickens_Bleak" "Dickens_David" "Dickens_Hard"
"the" 3.67599695496867 3.54395423762246 3.24343864329031 3.55705249322271 3.43227424749164 4.18724213856645 4.31423777294789 4.30828492563754 4.21015623901335 3.83110691025422 4.13134776913
"and" 4.0009954910113 4.00779442794039 3.04025628400656 2.9384703852789 2.91722408026756 3.53684345539665 3.30071284586538 3.26854941704775 3.57816872688408 3.43485300574107 3.21915697002389
"to" 3.46372313638227 3.34371394927645 3.23221998541574 3.3976833976834 3.43060200668896 2.7533722396802 2.61827272829649 2.44407366209368 2.83508416656119 2.92394553676045 2.81170532480543
"i" 3.22656204251332 3.63122313940908 1.98881873765169 1.69555573810893 1.67056856187291 3.82917548472605 3.30071284586538 3.03526552136118 2.60332728627881 3.69268370437277 2.05652307929414
"of" 2.34525970603736 2.23193204980305 2.67502664431245 2.96475807114105 2.98578595317726 2.3295709613288 2.99665536774063 2.4935113088617 2.39519610738444 2.42953699534954 2.48131309239424
"a" 1.89728875095157 1.66886831361813 1.9483069175491 1.60026287685862 1.72826086956522 2.38728916821651 2.51804637439611 2.41111523091501 2.14150107581319 2.20778022309906 2.17500192648532
"in" 1.33366516367043 1.20801678432029 1.35496456773888 1.53290068183685 1.62876254180602 1.47608969836893 1.71285712676945 1.59487908375561 1.76292733690531 1.73937846582345 1.7097557216614
"it" 1.16384610880131 1.36282942516094 1.57622143137609 1.25852296065062 1.46739130434783 1.28423010325146 1.07095800628385 1.14839533638199 1.43357380922246 1.32830349078157 1.29748786314248
"was" 1.4639573695614 1.09683859437295 1.49582104994173 1.5172923683562 1.55602006688963 1.3494302999209 1.22861743938558 1.48518930498908 0.932933946476536 1.48602205263438 1.14240579486784
"that" 1.13603091877965 1.14107077747028 1.12186578745629 1.29549001889427 1.15635451505017 0.884478077769939 0.899784907487697 0.999052445103613 1.36522803020715 1.46337098258105 1.26666409801957
"you" 1.09650406980149 1.67484563565831 1.2458942828473 1.11394068840877 0.995819397993311 1.5851129780457 0.991002150925123 0.878548181106579 1.19084785329564 0.980148154776719 1.42367265161439
"her" 1.09796802717105 1.0520086790716 1.54755152791888 1.8269941674197 2.12625418060201 0.916009320421557 1.39528598295026 1.10307749351131 0.750678535769031 1.0836160056376 1.17033983201048
"he" 0.964747906540962 1.35027704887656 1.12872163393519 1.09915386511131 0.929765886287625 1.01648175463349 0.689196950416108 1.14118567956165 1.29013205079526 0.986020654420175 1.31482623102412
"my" 1.26925103940973 1.42080944895068 0.456225420232226 0.585722500616118 0.525083612040134 1.19391179802903 1.24776179911936 0.983088205001442 1.03728079427358 1.45833741145809 0.524967249749557
"she" 0.909117526497628 0.808133939832276 1.4733837341926 1.40474821325885 1.34866220735786 0.779195792984031 0.985371456885776 0.994932641206279 0.513859005189217 0.750841025841795 0.798528165215381
"his" 0.630965626280963 1.03646764176714 0.71674758643041 1.04329253265423 0.853678929765886 0.649864255328246 0.575456930821293 0.842499897004903 1.14922161751677 0.820472093042766 1.13469985358712
"as" 0.979387480236576 0.882252733130503 0.895622853652608 0.970179906350119 1.02090301003344 0.850809123752111 0.912172434374261 0.79615210315989 0.852212800067502 0.893738517165876 0.838021114279109
"with" 0.885694208584646 0.916323468759526 0.759129182845426 0.864207672718311 0.82943143812709 0.749802261698625 0.805189247626662 0.832200387261566 0.952340772616687 0.942116728514341 0.927602681667566
"not" 0.894477952802014 0.974901224753286 1.34062961601027 1.17144500123224 1.04347826086957 0.834776288505526 0.795053998355837 0.987722984385943 0.637331420776554 0.565158179972539 0.646335824921014
"me" 0.928148972301927 1.15302542155064 0.363359863381677 0.367206111886963 0.37123745819398 1.09771478654952 0.858117771596527 0.891937543772916 0.686551632001575 1.01146815287515 0.500886183247284
"had" 0.740762428998068 0.603709526058135 1.01341876133552 0.96689394561735 0.834448160535117 0.796831911755275 0.926812238876564 0.794092201211222 0.589798759650677 0.855427448063333 0.743623333590198
"for" 0.947180418106225 0.990442262057753 0.839529564279793 0.869136613817465 1.05351170568562 0.697962761068001 0.654286647372155 0.67822271659869 0.684864081902432 0.731825312710606 0.739770362949834
"but" 1.06722492241026 1.15123222493858 0.898115888735844 0.823133163558695 0.740802675585284 0.664293807050172 0.585592180092118 0.682857495983191 0.575735842157814 0.616053176882486 0.502812668567466
"be" 0.745154301106752 0.679621515968416 1.23093607234788 1.01782633697527 1.08695652173913 0.549391821116313 0.489870381423214 0.512400609730977 0.646612946321844 0.56459889429221 0.687755259304924
"at" 0.60754230836798 0.587570756549651 0.643203051474942 0.647334264355541 0.701505016722408 0.626349430299921 0.64415139810133 0.570592839780826 0.703427132993011 0.743011026317188 0.655005008861832
"is" 0.373309129238157 0.635987065075105 0.774710652115652 0.706481557545387 0.635451505016722 0.731631715085829 0.52027612923569 0.451633502245293 0.976810249054269 0.485739613365809 0.469099175464283
"have" 0.524096738302981 0.608491383690279 0.823324836238758 0.691694734247926 0.684782608695652 0.579854208084824 0.530411378506515 0.473777448193466 0.617080819586831 0.669744602194078 0.739770362949834
"on" 0.396732447151139 0.42976945468891 0.430671810629055 0.588186971165695 0.581939799331104 0.607110028004019 0.654286647372155 0.580892349524163 0.58332981760396 0.658279245747332 0.513408337828466
"him" 0.477250102477016 0.758522166898786 0.480532512293779 0.627618499958925 0.536789297658863 0.38478804591804 0.298426784085406 0.406830634861781 0.585298626052961 0.476511399640379 0.578908838714649
"mr" 0.228377349651578 0.216976790058518 0.719240621513646 0.645691283989156 0.148829431438127 0.290728745804741 0.115992297210554 0.0236888724096733 0.870213334458367 0.695471743489216 0.628997457039377
"so" 0.62803771154184 0.50867010561928 0.605807525226399 0.483857717900271 0.538461538461538 0.337223968019838 0.364868973749704 0.358937914555267 0.566173058262667 0.477909613841202 0.523040764429375
"said" 0.27229607073842 0.411239756364354 0.301657245071581 0.329417563460117 0.331939799331104 0.311571431625302 0.254507370578497 0.304865488402752 0.490233303801207 0.825226021325563 0.700277413886106
"all" 0.452362827194472 0.398089647875959 0.527276920104458 0.512609874312002 0.548494983277592 0.339361679386049 0.278156285543756 0.365632595888436 0.411480965841173 0.423658902849281 0.412267858518918
"by" 0.383556830825086 0.366409841063007 0.354634240590351 0.52246775651031 0.624581939799331 0.340430535069155 0.45608621718713 0.34400362542743 0.413168515940317 0.39653354735332 0.446944594282192
"no" 0.442115125607542 0.455471939461682 0.462458007940317 0.40170869958104 0.474916387959866 0.407234015263259 0.39527472156218 0.349668355786265 0.35326048742072 0.344519979082716 0.397819218617554
"this" 0.264976283890613 0.337718695270145 0.327834113445561 0.368027602070155 0.364548494983278 0.358066653840398 0.287165396006712 0.51343056070531 0.441294350926043 0.392338904750852 0.485474300685829
"what" 0.310358962347016 0.331143641025948 0.334689959924461 0.392672307565925 0.37123745819398 0.385856901601146 0.334463225937229 0.323404605940757 0.349322870522719 0.368848906177031 0.423826770440009
"if" 0.465538443520525 0.518831553087586 0.30228050384239 0.286700073934117 0.244983277591973 0.287522178755424 0.237615288460456 0.201355415482223 0.385605197654305 0.434285330775533 0.419973799799646
"would" 0.551911928324647 0.424987597056767 0.511072192063423 0.386921876283578 0.430602006688963 0.355928942474187 0.316445005011318 0.38262678696494 0.247226089524533 0.280202125844871 0.274524158125915
"from" 0.36598934239035 0.385537271591582 0.340299288861742 0.404994660313809 0.452341137123746 0.385856901601146 0.411040664872352 0.325464507889424 0.299821400947841 0.298938196135895 0.333281960391462
"which" 0.275223985477543 0.156008105248686 0.346531876569833 0.442783208740656 0.495819397993311 0.318518993565489 0.354733724478879 0.34554855188893 0.322884585636136 0.374721405820486 0.288009555367188
"or" 0.541664226737717 0.465633386929988 0.307889832779672 0.245625564774501 0.297658862876254 0.340430535069155 0.362616696133965 0.424339801425452 0.292789942201409 0.28998962525063 0.333281960391462
"were" 0.374773086607718 0.213988129038428 0.37457852125624 0.464141953503656 0.368729096989967 0.332414117445862 0.363742834941835 0.373357228195938 0.254538806620822 0.351790692926994 0.360252754874008
"when" 0.305967090238332 0.261208973155847 0.226866192574495 0.306415838330732 0.255852842809365 0.306227153209774 0.292796090046059 0.246673258352902 0.347354062073718 0.466164614554291 0.344840872312553
"very" 0.22984130702114 0.185296983245566 0.755389630220571 0.400065719214655 0.418060200668896 0.201479296265418 0.213966373495197 0.200325464507889 0.3040402761957 0.279642840164542 0.253332819603915
"could" 0.367453299759911 0.267784027400044 0.521667591167177 0.432103836359156 0.483277591973244 0.269886059984181 0.216218651110936 0.276026861121411 0.192380711302367 0.241052128221835 0.190722046698004
"been" 0.206417989108157 0.191872037489764 0.47367666581488 0.423888934527232 0.368729096989967 0.210030141730264 0.20833567945585 0.183846248918551 0.282945899956405 0.310962838262971 0.324612776450643
"there" 0.238625051238508 0.226540505322805 0.343415582715788 0.289164544483693 0.199832775919732 0.270954915667287 0.229732316805369 0.268302228813908 0.325415910784851 0.307607124180996 0.322686291130462
"an" 0.294255431281841 0.208608539202267 0.288568810884591 0.289986034666886 0.287625418060201 0.315312426516172 0.349103030439532 0.316709924607589 0.272258082661829 0.265660698156315 0.301494952608461
