"Austen_Emma" "Austen_Pride" "Austen_Sense" "Eliot_Adam" "Eliot_Middlemarch" "Eliot_Mill"
"the" 3.24343864329031 3.55705249322271 3.43227424749164 4.65575686190858 3.95369657750483 4.19596902207898
"to" 3.23221998541574 3.3976833976834 3.43060200668896 2.97523267191289 3.17809854398668 2.92943383520131
"and" 3.04025628400656 2.9384703852789 2.91722408026756 3.13521634894063 2.68459327438076 2.97705517340901
"of" 2.67502664431245 2.96475807114105 2.98578595317726 2.0788603597546 2.79139899791101 2.43013131944778
"a" 1.9483069175491 1.60026287685862 1.72826086956522 2.24023519919127 2.30009266967189 2.31709076915677
"in" 1.35496456773888 1.53290068183685 1.62876254180602 1.44959123011217 1.65391804231391 1.49405935831449
"i" 1.98881873765169 1.69555573810893 1.67056856187291 1.30908382680955 1.42774121601458 1.32810621001491
"her" 1.54755152791888 1.8269941674197 2.12625418060201 1.41295728667684 1.17800430364239 1.38390494973303
"was" 1.49582104994173 1.5172923683562 1.55602006688963 1.40739263704109 1.45695572274491 1.46471691760065
"that" 1.12186578745629 1.29549001889427 1.15635451505017 1.18666153482311 1.6102533494589 1.41805762662947
"he" 1.12872163393519 1.09915386511131 0.929765886287625 1.24833640161931 1.55151020151727 1.10106306219635
"it" 1.57622143137609 1.25852296065062 1.46739130434783 1.11107504393755 1.06146041120204 1.15493770744144
"you" 1.2458942828473 1.11394068840877 0.995819397993311 0.905646728217875 1.08470636279391 1.16792534513445
"she" 1.4733837341926 1.40474821325885 1.34866220735786 0.972886244649821 0.823032340144816 0.946654480735004
"had" 1.01341876133552 0.96689394561735 0.834448160535117 0.906574169823832 1.17517709331365 1.0014911732166
"as" 0.895622853652608 0.970179906350119 1.02090301003344 1.23859826475676 0.859786074418459 0.968781567174948
"his" 0.71674758643041 1.04329253265423 0.853678929765886 0.892198824931485 1.19056968288124 0.948097551589783
"not" 1.34062961601027 1.17144500123224 1.04347826086957 0.581505886935594 0.920728163726891 0.671027947472221
"for" 0.839529564279793 0.869136613817465 1.05351170568562 1.10968388152861 0.801671195438767 0.856222040502189
"with" 0.759129182845426 0.864207672718311 0.82943143812709 0.84211697820976 0.959680839367333 1.0063014093992
"be" 1.23093607234788 1.01782633697527 1.08695652173913 0.728969102282897 0.770257747341637 0.683053537928712
"but" 0.898115888735844 0.823133163558695 0.740802675585284 0.795744897911865 0.748582468154617 0.771080860070229
"at" 0.643203051474942 0.647334264355541 0.701505016722408 0.676104930743298 0.618530793032497 0.682091490692193
"on" 0.430671810629055 0.588186971165695 0.581939799331104 0.746590492796097 0.63360924811912 0.65804030977921
"have" 0.823324836238758 0.691694734247926 0.684782608695652 0.442389646041911 0.641462610143402 0.538265428832556
"is" 0.774710652115652 0.706481557545387 0.635451505016722 0.449809178889574 0.683870765074528 0.427148973014575
"said" 0.301657245071581 0.329417563460117 0.331939799331104 0.562957054816436 0.719682095905257 0.792726922891914
"him" 0.480532512293779 0.627618499958925 0.536789297658863 0.535597527440679 0.633923382600091 0.513733224301313
"mr" 0.719240621513646 0.645691283989156 0.148829431438127 0.238816213534155 0.622614541285124 0.447351964981481
"which" 0.346531876569833 0.442783208740656 0.495819397993311 0.329241770115049 0.626070020575809 0.397325508682476
"by" 0.354634240590351 0.52246775651031 0.624581939799331 0.396017565744017 0.399264925314527 0.421376689595459
"would" 0.511072192063423 0.386921876283578 0.430602006688963 0.338516186174628 0.484709504138722 0.398768579537255
"all" 0.527276920104458 0.512609874312002 0.548494983277592 0.389061753699333 0.327956398134041 0.373274327769493
"no" 0.462458007940317 0.40170869958104 0.474916387959866 0.438216158815101 0.347432735954262 0.407427004665929
"my" 0.456225420232226 0.585722500616118 0.525083612040134 0.313475262813765 0.313820346490333 0.372312280532974
"so" 0.605807525226399 0.483857717900271 0.538461538461538 0.350109206249102 0.254763064067727 0.347780076001732
"if" 0.30228050384239 0.286700073934117 0.244983277591973 0.475777543856395 0.411202035591437 0.456491413728414
"been" 0.47367666581488 0.423888934527232 0.368729096989967 0.324140841282281 0.37821791508945 0.353071335802588
"me" 0.363359863381677 0.367206111886963 0.37123745819398 0.404828261000617 0.347118601473291 0.417047477031122
"from" 0.340299288861742 0.404994660313809 0.452341137123746 0.34639943982527 0.364710132407684 0.367502044350378
"this" 0.327834113445561 0.368027602070155 0.364548494983278 0.36402083033847 0.38544300815179 0.381932752898167
"an" 0.288568810884591 0.289986034666886 0.287625418060201 0.439607321224037 0.36376772896477 0.391072201645101
"what" 0.334689959924461 0.392672307565925 0.37123745819398 0.326459445297175 0.35654263590243 0.33671653278176
"were" 0.37457852125624 0.464141953503656 0.368729096989967 0.252727837623524 0.329841205019869 0.326615036798307
"could" 0.521667591167177 0.432103836359156 0.483277591973244 0.256437604047355 0.26512950193978 0.233777478474193
"they" 0.337182995007697 0.493715600098579 0.433946488294314 0.30698317157206 0.232145381437794 0.303044879503584
"very" 0.755389630220571 0.400065719214655 0.418060200668896 0.163229722648588 0.196334050607065 0.225119053345519
"there" 0.343415582715788 0.289164544483693 0.199832775919732 0.350109206249102 0.340835911853865 0.307374092067921
"when" 0.226866192574495 0.306415838330732 0.255852842809365 0.384888266472522 0.299684294846624 0.370388186059936
"will" 0.34840165288226 0.334346504559271 0.297658862876254 0.154419027391988 0.396123580504814 0.171725431718697
"more" 0.292308363509446 0.267805799720693 0.340301003344482 0.262002253683102 0.296857084517882 0.258790706623695
"mrs" 0.436904398337146 0.281771132834963 0.44314381270903 0.140971124105599 0.219894136679913 0.281879840300159
"do" 0.397015837005366 0.28423560338454 0.27257525083612 0.213311569370314 0.241255281385961 0.219346769926403
"one" 0.27610363546841 0.219337878912347 0.268394648829431 0.264784578500976 0.256647870953555 0.249170234258502
"your" 0.228735968886922 0.373778033352501 0.32190635451505 0.23696133032224 0.212669043617573 0.245322045312425
"any" 0.408234494879929 0.220980859278732 0.326086956521739 0.184560879585619 0.247537971005387 0.194333541776901
"who" 0.18386133738867 0.233303212026616 0.224916387959866 0.225368310247766 0.326071591248213 0.248208187021983
"than" 0.258652389885757 0.231660231660232 0.301839464882943 0.235570167913303 0.258218543358412 0.206359132233393
"them" 0.271740824072747 0.355705249322271 0.391304347826087 0.228614355868619 0.189108957544725 0.183751022175189
"or" 0.307889832779672 0.245625564774501 0.297658862876254 0.198472503674987 0.224606153894482 0.19625763624994
"their" 0.189470666325952 0.363098660971001 0.414715719063545 0.21052924455244 0.164606468028963 0.191928423685603
"are" 0.283582740718119 0.278485172102193 0.195652173913043 0.189661808418387 0.244710760676646 0.183751022175189
"must" 0.355880758131969 0.253018976423232 0.236622073578595 0.184560879585619 0.177800116229758 0.178459762374333
"should" 0.231229003970158 0.202908075248501 0.197324414715719 0.173895301117103 0.240312877943047 0.1967386598682
"now" 0.195079995263233 0.171691448287193 0.198160535117057 0.259683649668208 0.198218857492893 0.215979604598586
"know" 0.210038205762651 0.194693173416578 0.193979933110368 0.215630173385208 0.220522405641855 0.1967386598682
"about" 0.155191433931454 0.100221802349462 0.120401337792642 0.251800396017566 0.264501232977838 0.207321179469912
"out" 0.129014565557474 0.11007968454777 0.134615384615385 0.267103182515871 0.213611447060487 0.263119919188032
"much" 0.302903762613199 0.269448780087078 0.24247491638796 0.140043682499641 0.16869021628159 0.149598345278753
"like" 0.122781977849383 0.0632547441058079 0.0668896321070234 0.299099917921418 0.210470102250774 0.261195824714994
"some" 0.165163574264399 0.173334428653578 0.179765886287625 0.173431580314124 0.22649096078031 0.192409447303863
"up" 0.115926131370484 0.0911854103343465 0.092809364548495 0.286115735438008 0.208585295364946 0.23762566742027
"we" 0.222503381178832 0.207837016347655 0.179765886287625 0.204964594916693 0.171831561091303 0.175092597046515
"little" 0.224996416262068 0.155261644623347 0.133779264214047 0.203573432507756 0.196334050607065 0.193371494540382
"think" 0.239331367990676 0.173334428653578 0.175585284280936 0.184560879585619 0.172459830053246 0.164510077444803
"well" 0.239331367990676 0.175798899203155 0.184782608695652 0.18409715878264 0.150156281904283 0.181345904083891
"never" 0.223126639949641 0.180727840302308 0.158026755852843 0.172040417905188 0.170889157648389 0.18230795132041
"such" 0.304773538925627 0.319559681261809 0.300167224080268 0.106192063882178 0.119685237250067 0.102939054307567
"only" 0.212531240845887 0.177441879569539 0.239966555183946 0.148390656953262 0.16146512321925 0.172206455336957
"might" 0.203182359283751 0.164298036638462 0.179765886287625 0.142362286514535 0.20481568159329 0.13997787291356
"see" 0.13836344711961 0.121580547112462 0.144648829431438 0.231396680686492 0.157067240485652 0.18230795132041
"own" 0.188847407555143 0.150332703524193 0.22742474916388 0.150709260968156 0.163035795624107 0.142382991004858
"into" 0.101591179641876 0.115830115830116 0.0961538461538462 0.19290785403924 0.198847126454835 0.193852518158642
"did" 0.220010346095595 0.223445329828309 0.206521739130435 0.0899618357779148 0.167119543876734 0.12554716436577
"before" 0.155814692702263 0.186478271584655 0.167224080267559 0.17111297629923 0.151098685347197 0.150079368897013
"can" 0.176382232138962 0.173334428653578 0.174749163879599 0.162766001845609 0.140103978513201 0.15440858146135
"good" 0.195703254034042 0.151154193707385 0.123745819397993 0.153955306589009 0.169004350762561 0.144788109096157
"man" 0.136493670807182 0.119116076562885 0.0994983277591973 0.188270646009451 0.201988471264548 0.134686613112704
"other" 0.137740188348801 0.172512938470385 0.155518394648829 0.150245540165177 0.163349930105078 0.161142912116985
"come" 0.106577249808348 0.0747556066705003 0.0852842809364548 0.246235746381818 0.138847440589316 0.205397084996873
"has" 0.157061210243881 0.181549330485501 0.17809364548495 0.129378104031125 0.185967612735012 0.0986098417432296
"say" 0.194456736492424 0.13143842931077 0.133779264214047 0.137261357681767 0.161779257700221 0.140939920150079
