"Anonymous" "EBronte_Wuthering" "Eliot_Adam" "Eliot_Middlemarch" "Eliot_Mill" "Fielding_Joseph" "Fielding_Tom" "Richardson_Clarissa" "Richardson_Pamela" "Sterne_Sentimental" "Sterne_Tristram" "Thackeray_Barry" "Thackeray_Pendennis" "Thackeray_Vanity" "Trollope_Barchester" "Trollope_Phineas" "Trollope_Prime"
"the" 3.67599695496867 3.9190127861008 4.65575686190858 3.95369657750483 4.19596902207898 5.12887953708574 4.79241024639708 3.27371030164229 2.81716426402778 5.81974248927039 5.50871906654699 5.70687317275813 5.33650969342319 5.74577945844453 5.11527049772795 3.92673531597385 4.39692955392497
"and" 4.0009954910113 4.0682268396635 3.13521634894063 2.68459327438076 2.97705517340901 2.81576947805249 2.48435790604119 2.82539866603993 3.9273700549413 3.16370324954016 3.12433217933923 3.84769130683555 4.41731303534356 4.23843146523285 2.87455961665799 2.66458393363563 2.46115222825953
"to" 3.46372313638227 2.98771127938188 2.97523267191289 3.17809854398668 2.92943383520131 3.07513589338944 3.28060437777631 3.99980949343891 3.50518232592438 2.79828326180258 2.37049621746378 2.84442284630397 2.55785011363541 2.63753073289544 3.30066367096477 3.34817027859082 3.57924874914935
"i" 3.22656204251332 3.07775424273868 1.30908382680955 1.42774121601458 1.32810621001491 1.5730025132971 1.83254416971277 3.06156468008357 3.9412533171893 3.20294297976701 1.46012309270419 2.6806079179828 1.07735916373331 0.74973493390581 0.959365949079807 1.92981391892507 1.84727457361772
"of" 2.34525970603736 1.90548061503632 2.0788603597546 2.79139899791101 2.43013131944778 2.84061020515518 3.00552175248881 2.4348602158108 2.03128058300598 3.09503372164316 3.40000854810446 3.34762468353934 2.7688270971983 2.80822344989676 2.72292116316803 2.49283428623425 2.401210125279
"a" 1.89728875095157 1.98866316213736 2.24023519919127 2.30009266967189 2.31709076915677 2.27877140686189 1.9482626436072 1.80204711724229 1.71401390146981 2.42550582464746 2.21449331110826 2.42979080284991 2.31962310689594 2.22261612849223 1.7190746010645 1.85853591956202 1.85749999118498
"in" 1.33366516367043 1.25631372683538 1.44959123011217 1.65391804231391 1.49405935831449 1.67674907943188 1.63097005389667 1.48791836379713 1.39424368083973 1.90312691600245 2.03017480873616 1.93364319697765 1.69821020724064 1.77454774636375 1.52245007303919 1.52148197576548 1.39206719157144
"it" 1.16384610880131 1.12425071391207 1.11107504393755 1.06146041120204 1.15493770744144 0.924221170144368 0.959917762355029 1.18290079370831 1.13956547665108 1.93746167995095 1.68718211736547 0.74696472100515 0.838570300845874 0.751047954805821 1.16862701489595 1.26935500993342 1.52393981812861
"was" 1.4639573695614 0.966461140029671 1.40739263704109 1.45695572274491 1.46471691760065 1.16970600268864 1.14770903264524 0.638196979642717 0.694845895789047 1.16247700797057 0.969675599435825 1.71104300729721 1.3417124813534 1.45975098558631 1.56238153245821 1.557120975447 1.47951214180186
"that" 1.13603091877965 1.03249264649133 1.18666153482311 1.6102533494589 1.41805762662947 1.11417967151791 1.15919473725015 1.6187880883702 1.26110091993682 0.848559166155733 1.13422661024918 1.08870304037372 1.19422524251116 1.08718130520843 1.81309044222828 2.23160800133457 2.17060932910683
"you" 1.09650406980149 1.48956787953109 0.905646728217875 1.08470636279391 1.16792534513445 0.74083815535683 1.03199055875081 1.44722864721705 1.91793854039119 0.331085223789086 0.462131897251784 0.714828778128748 0.947289465478154 0.671938445580208 0.813287572217813 1.35314457301445 1.20659927293755
"her" 1.09796802717105 1.33006320158476 1.41295728667684 1.17800430364239 1.38390494973303 0.966596528143083 1.04548626166158 1.36999066103706 0.909695068938363 0.71367259350092 0.297580886438432 0.899806400539257 0.929590996817085 1.51588262906175 1.2287769347803 0.827279758564734 1.06873243608233
"he" 0.964747906540962 1.67479911843651 1.24833640161931 1.55151020151727 1.10106306219635 1.7593079665673 1.44547592452744 0.8313954812672 1.08061851071287 0.973635806253832 1.04180023079882 0.866102850693274 1.59145753912626 1.25327844905971 1.95310328095067 2.25094405435327 2.17766134122218
"my" 1.26925103940973 0.948452547358311 0.313475262813765 0.313820346490333 0.372312280532974 0.483663568881875 0.642625172644497 1.54620923004288 1.80755522579647 1.09871244635193 1.69359319570885 1.66950142260332 0.384028677137792 0.328255225002544 0.247170679188633 0.35032378410349 0.345548593652484
"she" 0.909117526497628 1.10023925701692 0.972886244649821 0.823032340144816 0.946654480735004 0.710883160909463 0.731065098102274 0.954707065101476 0.746737433371721 0.559166155732679 0.16882506304227 0.468714483904595 0.628436101504932 1.03334744830801 1.15043040047716 0.760172280441014 0.9209927822656
"his" 0.630965626280963 1.22115409352462 0.892198824931485 1.19056968288124 0.948097551589783 1.4290724180256 1.13076761835301 0.646583409777542 0.597435465589993 1.02513795217658 1.29076377313331 1.02913397552966 1.5602745229139 1.3284488955853 1.41428130954968 1.29779038201975 1.3102638510333
"as" 0.979387480236576 0.802668701923489 1.23859826475676 0.859786074418459 0.968781567174948 0.951984335729733 0.946422059444264 1.21064848847539 1.22354783352831 1.12568976088289 1.23199555498568 1.03070158249924 0.849807423805283 0.840333376006513 1.02911963768519 1.04983393742702 1.052512808217
"with" 0.885694208584646 0.691186937767449 0.84211697820976 0.959680839367333 1.0063014093992 0.927874218247706 0.835010724776675 0.816382735964118 0.803180860216033 0.968730839975475 0.844659571739967 0.902941614478418 1.0357818087835 1.01430864525786 0.842604339892539 0.734390876416082 0.694270592756878
"not" 0.894477952802014 0.803526253955459 0.581505886935594 0.920728163726891 0.671027947472221 0.880384592904319 0.789642191587296 1.13144331497982 0.983890863903063 0.711220110361741 0.71430097875796 0.585501203138349 0.580116472779474 0.542605886929205 1.0933132496626 1.18746113832482 1.12902713966863
"me" 0.928148972301927 0.91243536201559 0.404828261000617 0.347118601473291 0.417047477031122 0.355806885265065 0.452823904048424 1.14252168565175 1.36989107328997 0.755364806866953 0.267662520836005 0.850426780997468 0.322224500861045 0.214678917151664 0.218864834537174 0.418189538816179 0.395265279065749
"had" 0.740762428998068 0.590853350027013 0.906574169823832 1.17517709331365 1.0014911732166 0.995820912969782 0.916846370086631 0.573176262054199 0.471803321968783 1.17473942366646 0.641107834337736 0.986808587350979 0.880428583869672 0.903358379207001 1.26820293268769 1.3834756365732 1.51583000419595
"for" 0.947180418106225 0.722058810918352 1.10968388152861 0.801671195438767 0.856222040502189 0.960751651177743 1.00385058246879 1.0741878104791 1.22764453386378 0.782342121397915 0.867632602470402 0.890400758721773 0.726199071251787 0.744154595080767 0.704613347216676 0.770029876097605 0.710137620016431
"but" 1.06722492241026 0.589138245963074 0.795744897911865 0.748582468154617 0.771080860070229 0.643667075808054 0.625970900967384 0.844337503080201 0.921757575481704 0.725935009196812 0.628285677650981 0.555716670716318 0.45173234296823 0.406708223778152 0.802167418961883 0.862539619951774 0.978819281611526
"be" 0.745154301106752 0.618295015050038 0.728969102282897 0.770257747341637 0.683053537928712 0.564030627155298 0.807157891109778 1.20205498599156 1.09586733973936 0.431637032495402 0.571120229089199 0.466363073450225 0.444990069192585 0.440190256728411 0.948245795823877 1.10139674547688 1.17345481599537
"at" 0.60754230836798 0.672320793064119 0.676104930743298 0.618530793032497 0.682091490692193 0.573528552223976 0.618505192974194 0.465188032046517 0.418318623144536 0.566523605150215 0.504872419540967 0.816723231151486 0.823400184850673 0.805538322156243 0.711689808379541 0.693064802317293 0.687923781853057
"is" 0.373309129238157 0.560839028908079 0.449809178889574 0.683870765074528 0.427148973014575 0.635630369980712 0.714985111655406 0.812862506030982 0.764262207029027 0.566523605150215 0.730328674616404 0.410713026030114 0.543876751235381 0.46973322697864 0.593411814657373 0.735907429594019 0.663594340055076
"have" 0.524096738302981 0.542830436236719 0.442389646041911 0.641462610143402 0.538265428832556 0.721842305219475 0.855684993065506 0.998502866916672 0.967504062561166 0.622930717351318 0.601038594691627 0.569041329957753 0.508479813913244 0.399158353603093 0.555502201284883 0.740836227422315 0.678050964891558
"on" 0.396732447151139 0.699762458087144 0.746590492796097 0.63360924811912 0.65804030977921 0.569875504120638 0.434159634065451 0.309159017068974 0.326142865596366 0.24770079705702 0.305594734367654 0.442065165421725 0.4522941991162 0.499276197228869 0.607059275471469 0.52776050592214 0.442161159632872
"him" 0.477250102477016 0.794093181603794 0.535597527440679 0.633923382600091 0.513733224301313 0.74083815535683 0.569978091018466 0.45493795077062 0.349129906367638 0.497854077253219 0.415117322733684 0.586285006623139 0.605399999438144 0.544247163054218 0.635365120122928 0.88073825808702 0.840599844150532
"mr" 0.228377349651578 0.267556233974496 0.238816213534155 0.622614541285124 0.447351964981481 0.238909345958268 0.349452562604269 0.263603100287209 0.322046165260892 0.0196198651134273 0.0277813394879685 0.116002915748963 0.417459117942033 0.259649882977012 1.07916032733687 0.751072961373391 0.438282552969426
"so" 0.62803771154184 0.307861179477065 0.350109206249102 0.254763064067727 0.347780076001732 0.471973814951195 0.506806715691483 0.622459481118108 0.835954462899827 0.694052728387492 0.58127110313288 0.286872075433247 0.336832760708276 0.323659651852508 0.6151466596576 0.58159814373891 0.497519454738423
"said" 0.27229607073842 0.321582011988577 0.562957054816436 0.719682095905257 0.792726922891914 0.271056169267637 0.273359769596766 0.213595128001773 0.901501668267414 0.863274064990803 0.443432918750267 0.384847511032034 0.534044268645899 0.440846767178417 0.650528965471924 0.740077950833346 0.51761768926719
"all" 0.452362827194472 0.243544777079349 0.389061753699333 0.327956398134041 0.373274327769493 0.420100531883804 0.469478175725538 0.503703488962008 0.525743209719194 0.38749233599019 0.597833055519938 0.317440411340069 0.280366217837247 0.361409002727801 0.460980898609475 0.411744187809946 0.450270973565533
"by" 0.383556830825086 0.385898414386293 0.396017565744017 0.399264925314527 0.421376689595459 0.49389210357122 0.510252427072954 0.507223718895145 0.408532061232014 0.470876762722256 0.495790058554516 0.420902471332388 0.388523526321556 0.408677755128167 0.39527090209716 0.340087050152414 0.431230540854069
"no" 0.442115125607542 0.337017948564029 0.438216158815101 0.347432735954262 0.407427004665929 0.441288210883161 0.434733919295697 0.276648658274715 0.2967831798588 0.328632740649908 0.355814848057443 0.297845324220311 0.280928073985218 0.22583959480175 0.404369209306557 0.405298836803713 0.371641038479304
"this" 0.264976283890613 0.253835401462984 0.36402083033847 0.38544300815179 0.381932752898167 0.524577707639254 0.768967923298465 0.656005201657407 0.61018075552258 0.461066830165543 0.633628242937129 0.385631314516824 0.331214199228571 0.341385434002646 0.392743594538994 0.363214486115956 0.399143885729196
"what" 0.310358962347016 0.26069581771874 0.326459445297175 0.35654263590243 0.33671653278176 0.282745923198317 0.315569734019796 0.481132602920134 0.435615802338761 0.255058246474555 0.337115869555926 0.18654522938009 0.271938375617691 0.214022406701659 0.283563908026223 0.342741018213804 0.345901194258252
"if" 0.465538443520525 0.383325758290384 0.475777543856395 0.411202035591437 0.456491413728414 0.371149687299082 0.345432565992552 0.554022069770957 0.500707818780185 0.29429797670141 0.273539342650767 0.208491726954218 0.249745057772858 0.203518239501577 0.319957136863813 0.394682964558152 0.413953111171445
"would" 0.551911928324647 0.379037998130537 0.338516186174628 0.484709504138722 0.398768579537255 0.460284061020516 0.374721112735062 0.46270316385842 0.419684189923028 0.313917841814838 0.361157413343591 0.395820759819098 0.318291507825252 0.29936876520232 0.534272817796289 0.690031695961419 0.657600129757023
"from" 0.36598934239035 0.416770287537196 0.34639943982527 0.364710132407684 0.367502044350378 0.382839441229762 0.482112450790934 0.421806374929337 0.304976580529749 0.296750459840589 0.345129717485148 0.377793279668921 0.326719350044808 0.359767726602788 0.335120982212809 0.318097029072324 0.308525530046861
"which" 0.275223985477543 0.158647125914365 0.329241770115049 0.626070020575809 0.397325508682476 0.97901689169443 0.983463456795086 0.370659504724356 0.341619289085935 0.625383200490497 0.705752874300124 0.687395656161087 0.6385495121684 0.648304069380024 0.443289745702313 0.434113347184519 0.44745016871939
"or" 0.541664226737717 0.266698681942527 0.198472503674987 0.224606153894482 0.19625763624994 0.352884446782395 0.322748299397862 0.353679572105698 0.292231290597162 0.338442673206622 0.651258708381416 0.304899555583424 0.426729744383545 0.319720589152478 0.264356370584162 0.283216305979769 0.315930142767985
"were" 0.374773086607718 0.301000763221308 0.252727837623524 0.329841205019869 0.326615036798307 0.267403121164299 0.208465538579046 0.250557542299704 0.165916363586707 0.169221336603311 0.135701158268154 0.417767257393226 0.301154895312153 0.349591814627709 0.322484444421979 0.36890156053322 0.316635343979521
"when" 0.305967090238332 0.264983577878588 0.384888266472522 0.299684294846624 0.370388186059936 0.243293003682272 0.270775486060662 0.248797427333136 0.323866920965547 0.267320662170448 0.222250715903748 0.352711568155632 0.329809558858645 0.372569680377887 0.213810219420842 0.312030816360576 0.313109337921843
"very" 0.22984130702114 0.11233931618801 0.163229722648588 0.196334050607065 0.225119053345519 0.292974457887661 0.40917822654978 0.221670949613085 0.251947070631666 0.129981606376456 0.169359319570885 0.250817115132894 0.313515730567503 0.290505874127251 0.300749599421752 0.376105188128422 0.371993639085072
"could" 0.367453299759911 0.240972120983441 0.256437604047355 0.26512950193978 0.233777478474193 0.225758372786253 0.200999830585857 0.226019468942254 0.215531956538561 0.316370324954016 0.228661794247126 0.177139587562606 0.177827470832643 0.163142846826264 0.322484444421979 0.290040795280486 0.329328965787163
"been" 0.206417989108157 0.191234103129207 0.324140841282281 0.37821791508945 0.353071335802588 0.259366415336957 0.278241194053851 0.249832789078176 0.199145155196664 0.223175965665236 0.201414711287772 0.306467162553005 0.264634245694075 0.247504439651918 0.420038516167186 0.528139644216624 0.604004837680311
"there" 0.238625051238508 0.247832537239197 0.350109206249102 0.340835911853865 0.307374092067921 0.152697410719504 0.20128697320098 0.160377534306711 0.150667534560219 0.306560392397302 0.268731033893234 0.2664931848287 0.247497633180977 0.247176184426916 0.322989905933613 0.5383763781677 0.473190012940442
"an" 0.294255431281841 0.272701546166314 0.439607321224037 0.36376772896477 0.391072201645101 0.336080425507043 0.294895465730965 0.310815595861038 0.232601541269704 0.313917841814838 0.346732487070992 0.23984386634583 0.282332714355144 0.252756523251959 0.264356370584162 0.243785923353402 0.25316723494131
"they" 0.390876617672893 0.249547641303136 0.30698317157206 0.232145381437794 0.303044879503584 0.456631012917178 0.281686905435323 0.342911809957281 0.299741907878865 0.228080931943593 0.256977390263709 0.21319454786296 0.239631647109391 0.29805574430231 0.282552985002957 0.24795644459273 0.263040051902809
"do" 0.289863559173157 0.219533320184202 0.213311569370314 0.241255281385961 0.219346769926403 0.160003506926179 0.171998426458469 0.256873248944449 0.282217134221559 0.220723482526058 0.183784245843484 0.143436037716624 0.184007888460318 0.120141412350931 0.305298753026451 0.48188477228954 0.423825928132945
"one" 0.297183346020964 0.246117433175258 0.264784578500976 0.256647870953555 0.249170234258502 0.306125431059676 0.273072626981643 0.324171762372055 0.350267878683047 0.397302268546904 0.447172714450571 0.274331219676603 0.241598143627287 0.237000272451837 0.225435834188406 0.273737848617662 0.279964880979666
"your" 0.196170287521227 0.349881229043572 0.23696133032224 0.212669043617573 0.245322045312425 0.251329709509615 0.367255404741873 0.657558244274967 0.86872806558362 0.127529123237278 0.30399196478181 0.237492455891459 0.225866171484115 0.157562508001221 0.182977067211217 0.201701572665646 0.24823082646056
