Number,Token,Frequency,President
1,nation,12,Obama
2,america,8,Obama
3,people,7,Obama
4,today,7,Obama
5,common,6,Obama
6,time,6,Obama
7,work,6,Obama
8,world,6,Obama
9,day,5,Obama
10,generation,5,Obama
11,spirit,5,Obama
12,crisis,4,Obama
13,end,4,Obama
14,greater,4,Obama
15,long,4,Obama
16,meet,4,Obama
17,men,4,Obama
18,peace,4,Obama
19,power,4,Obama
20,seek,4,Obama
21,things,4,Obama
22,women,4,Obama
23,words,4,Obama
24,americans,3,Obama
25,carried,3,Obama
26,courage,3,Obama
27,earth,3,Obama
28,economy,3,Obama
29,father,3,Obama
30,force,3,Obama
31,forward,3,Obama
32,freedom,3,Obama
33,future,3,Obama
34,generations,3,Obama
35,god,3,Obama
36,government,3,Obama
37,hard,3,Obama
38,history,3,Obama
39,hope,3,Obama
40,ideals,3,Obama
41,jobs,3,Obama
42,journey,3,Obama
43,life,3,Obama
44,man,3,Obama
45,moment,3,Obama
46,nations,3,Obama
47,oath,3,Obama
48,prosperity,3,Obama
49,question,3,Obama
50,small,3,Obama
