Number,Token,Frequency,President
1,america,17,Trump
2,american,12,Trump
3,country,9,Trump
4,people,9,Trump
5,back,6,Trump
6,great,6,Trump
7,nation,6,Trump
8,world,6,Trump
9,dreams,5,Trump
10,make,5,Trump
11,nations,5,Trump
12,president,5,Trump
13,protected,5,Trump
14,americans,4,Trump
15,bring,4,Trump
16,citizens,4,Trump
17,heart,4,Trump
18,jobs,4,Trump
19,power,4,Trump
20,today,4,Trump
21,wealth,4,Trump
22,borders,3,Trump
23,capital,3,Trump
24,countries,3,Trump
25,day,3,Trump
26,factories,3,Trump
27,families,3,Trump
28,foreign,3,Trump
29,god,3,Trump
30,government,3,Trump
31,left,3,Trump
32,millions,3,Trump
33,moment,3,Trump
34,obama,3,Trump
35,united,3,Trump
36,weve,3,Trump
37,action,2,Trump
38,allegiance,2,Trump
39,belongs,2,Trump
40,bless,2,Trump
41,breath,2,Trump
42,children,2,Trump
43,city,2,Trump
44,destiny,2,Trump
45,earth,2,Trump
46,exists,2,Trump
47,face,2,Trump
48,fight,2,Trump
49,follow,2,Trump
50,forgotten,2,Trump
