Letter,Scribe,Year,Destination,WordCount
1,Vermuelen P.,NA,LENDELEDE,498
2,Anon1,NA,INGOOIGEM,251
3,De Meulenaere J.,NA,ARDOOIE,446
4,Corbeke J.,1803,KLERKEN,141
5,Crombek J.,1805,KLERKEN,263
6,Crombeecke J.,NA,KLERKEN,396
7,Martijn C.,1805,HONDSCHOOTE,285
8,Martien C.,1806,ONBEKEND,335
9,De Planter J.,1806,TIELT,300
10,Faceel J.,1806,LANGEMARK,279
11,De Koster A.,1805,TIELT,583
12,De Griese,1806,MOERE,352
13,De Fever P.F.,1806,GELUWE,276
14,Bernaerd,1806,ARDOOIE,176
15,Wicke J.,1806,EGGEWAARTSKAPELLE,327
16,Fasseele J.,1806,LANGEMARK,132
17,Verhaege F.,1806,TIELT,228
18,Verst I.,1806,INGOOIGEM,234
19,Vermuilen C.,1806,IZEGEM,277
20,Frijsou J.,1806,MEENEN,351
21,Couwet J.C.,1806,LEISELE,187
22,Anon2,1806,BOEZINGE,314
23,Soenen E.,1807,BOEZINGE,393
24,Becuij J.,1807,EESEN,528
25,Persin P.J.,1807,MEENEN,360
26,Mantez J.,1807,KROMBEKE,342
27,Anon3,1807,AARTRIJKE,262
28,De Jonge J.,1808,ROESELARE,294
29,Van Caeijseele F.A.,1808,POPERINGE,293
30,Fictoir P.,1808,IZEGEM,285
31,Duijk C.,1808,ANSEGEM,544
32,De Smet P.,1808,ST-BAAFS-VIJVE,336
33,Volkaert F.,1808,ROESELARE,166
34,Markeij L.,1808,POLLINKHOVE,426
35,Bonte B.C.,1808,VLAMERTINGE,446
36,Malfait J.,1808,GELUVELD,374
37,Naessens F.,1808,WAREGEM,217
38,De Wolf J.B.,1808,OOSTROOZEBEKE,382
39,Sniek P.,1809,RENINGE,537
40,Coussee P.,1809,PITTEM,324
41,Monballieu P.,1809,WEVELGEM,523
42,De Witte J.B.,1809,VEURNE,457
43,Denijs F.,1809,ROESELARE,783
44,De Cloet P.,1809,OOSTKAMP,359
45,Scholier P.,1801,AARSELE,208
46,Moerman P.,1811,IZEGEM,390
47,Mispelon J.,1811,WERVIK,549
48,Mispelon C.L.,1811,GELUWE,181
49,Taveiren J.,1811,RUDDERVOORDE,532
50,Denoijelle,1811,IEPER,325
51,Alijnd J.,1812,RUDDERVOORDE,221
52,Calleevaart J.F.,1812,BRUGGE,290
53,Naert J.,1812,HULSTE,676
54,Maijae Y.,1812,KUURNE,165
55,Everaet H.,1812,BRUGGE,233
56,De Clerck Ph.,1812,IEPER,286
57,Hegremond,1812,MARKEGEM,326
